,0,1,2,3,4,5,6,7
0,True,True,False,True,True,True,False,True
1,True,True,True,False,False,False,True,True
2,False,True,True,True,True,True,True,True
3,True,False,True,True,False,False,True,False
4,True,False,True,True,True,False,True,True
5,False,False,True,True,False,True,True,True
6,True,True,False,True,False,True,True,False
7,True,True,True,False,True,True,False,True
8,False,False,True,False,True,True,False,False
9,False,True,True,True,True,False,False,True
10,False,False,True,True,True,True,True,True
11,True,False,True,True,True,False,True,True
12,True,True,True,True,True,False,False,True
13,True,True,False,True,True,True,True,True
14,True,True,True,True,False,False,True,True
15,True,False,True,True,False,True,True,False
16,True,True,True,True,True,True,True,True
17,True,True,True,False,True,False,True,False
18,True,True,False,True,True,True,True,True
19,True,True,True,True,True,False,True,True
20,True,False,True,True,True,True,True,True
21,True,False,True,True,True,True,True,True
22,True,True,True,False,True,True,True,True
23,False,False,True,False,True,False,True,False
24,True,True,True,True,False,True,True,True
25,True,False,False,True,False,True,False,True
26,True,True,False,True,True,False,False,False
27,True,False,True,True,False,True,False,True
28,True,True,True,True,False,True,True,True
29,True,False,True,False,True,False,True,True
30,True,False,False,False,False,False,True,True
31,True,False,True,False,False,True,True,True
32,True,False,True,True,True,True,False,False
33,False,True,False,True,False,True,True,True
34,False,True,True,True,True,True,True,True
35,False,True,False,True,True,True,True,True
36,False,False,True,False,True,True,False,True
37,True,True,False,True,False,True,False,True
38,True,True,True,True,True,False,True,True
39,True,True,True,True,True,True,False,True
40,False,False,True,True,True,False,True,True
41,True,False,True,True,True,False,True,False
42,True,True,True,True,True,True,True,False
43,True,False,True,True,True,True,True,True
44,True,True,True,True,True,True,False,False
45,True,True,False,True,True,True,False,True
46,False,False,False,True,True,True,True,True
47,True,True,False,True,True,True,True,True
48,True,True,True,True,True,True,True,False
49,False,True,True,True,True,True,True,True
50,True,False,True,True,True,True,True,False
51,True,True,True,True,True,False,False,True
52,False,True,False,True,False,True,True,False
53,False,False,False,True,True,True,True,True
54,True,True,True,True,True,True,True,False
55,True,True,True,False,True,False,True,True
56,True,True,True,True,False,True,False,True
57,True,True,False,True,True,True,True,True
58,True,True,True,True,True,False,False,True
59,True,True,True,True,True,True,True,True
60,True,False,True,True,True,True,False,False
61,True,True,True,False,False,True,True,True
62,False,False,True,True,True,True,True,False
63,True,True,False,True,True,True,True,True
64,False,False,False,False,True,False,False,True
65,False,True,True,True,True,True,False,False
66,True,True,False,True,False,False,True,True
67,True,False,True,True,True,True,True,True
68,True,True,True,False,True,True,True,False
69,True,True,False,True,False,True,True,True
70,True,True,True,True,True,True,False,False
71,False,False,False,True,True,False,False,True
72,True,True,True,False,True,True,True,True
73,True,True,True,False,False,True,True,True
74,True,True,True,False,False,True,True,False
75,True,False,True,True,True,False,True,True
76,True,True,True,True,True,True,True,True
77,True,False,True,True,True,True,True,True
78,True,False,False,True,True,True,True,True
79,True,True,True,False,True,False,True,True
80,True,True,False,True,False,True,False,True
81,False,True,False,True,True,False,True,False
82,True,False,True,False,False,True,True,True
83,True,True,False,True,False,False,True,True
84,False,True,True,True,True,True,False,False
85,False,True,False,True,True,True,False,True
86,False,True,True,True,False,True,True,True
87,True,False,False,True,True,True,False,True
88,False,False,True,True,True,False,True,True
89,True,True,True,False,True,True,True,False
90,True,True,True,True,False,True,False,True
91,False,True,True,True,False,True,True,False
92,True,False,True,True,True,True,False,True
93,True,False,True,True,False,True,True,True
94,True,True,True,True,True,True,False,False
95,True,False,True,True,True,True,False,True
96,True,True,True,True,True,True,True,False
97,True,True,False,True,True,True,True,False
98,True,True,True,False,True,True,False,False
99,True,True,True,True,True,True,True,False
100,True,False,True,True,True,False,True,True
101,True,False,True,False,True,True,False,True
102,False,True,True,True,True,True,True,True
103,False,True,True,True,True,True,True,False
104,True,True,False,True,True,True,True,False
105,False,True,False,True,True,True,False,True
106,False,True,True,False,True,False,False,True
107,True,True,True,True,True,True,True,False
108,True,True,True,False,True,True,True,True
109,True,True,False,True,True,True,True,True
110,True,False,True,False,True,True,True,True
111,True,True,True,True,True,True,True,True
112,True,True,False,True,True,True,False,True
113,False,False,True,False,False,True,False,True
114,False,True,True,True,True,True,True,True
115,True,True,False,True,False,True,False,False
116,True,True,True,True,True,True,True,False
117,False,True,False,True,False,False,False,False
118,True,True,True,False,True,True,True,False
119,False,True,True,False,False,True,False,False
120,False,True,False,True,False,False,True,True
121,True,False,True,True,True,True,True,True
122,True,True,False,True,False,True,True,False
123,False,False,True,True,False,True,True,True
124,True,True,True,True,True,True,False,True
125,False,False,True,True,False,True,True,True
126,True,False,False,True,True,True,True,True
127,True,True,True,True,True,True,True,True
128,True,False,True,False,False,True,False,True
129,True,True,True,True,False,True,True,False
130,True,False,True,True,True,True,True,False
131,True,True,False,True,True,False,False,True
132,True,True,True,False,True,False,False,False
133,True,True,True,True,True,False,True,True
134,True,True,True,True,True,False,True,True
135,True,True,True,True,True,True,False,True
136,True,True,False,True,True,True,True,True
137,False,True,True,False,True,True,False,True
138,True,False,True,False,True,True,True,True
139,True,True,True,True,True,True,True,True
140,True,True,True,True,False,False,False,False
141,True,True,True,True,False,True,True,True
142,False,False,False,True,True,True,False,False
143,True,True,True,True,True,False,False,False
144,False,True,True,False,True,False,True,True
145,True,True,True,True,False,True,True,True
