,0,1,2,3,4,5,6,7
0,True,True,True,False,False,True,True,True
1,True,False,False,False,False,False,False,True
2,True,True,True,False,False,False,False,False
3,True,False,False,False,False,False,False,True
4,True,False,False,False,False,False,True,True
5,False,False,False,False,False,False,False,True
6,True,False,False,False,False,False,False,False
7,True,True,True,True,False,False,True,True
8,False,False,False,False,False,True,False,False
9,True,True,True,False,False,False,False,False
10,True,True,True,True,False,False,False,False
11,False,False,False,False,False,True,True,True
12,True,True,True,False,False,False,False,False
13,True,False,False,False,False,True,True,True
14,False,False,False,False,False,True,True,True
15,True,True,True,False,False,False,False,True
16,True,True,True,False,False,False,False,True
17,False,False,False,False,False,False,False,True
18,True,False,False,False,False,True,True,True
19,True,True,False,False,False,False,False,True
20,True,False,False,False,False,False,False,True
21,False,False,False,False,False,False,False,False
22,True,True,True,True,False,True,False,False
23,False,False,False,False,False,True,True,True
24,True,False,False,False,False,True,True,True
25,False,False,False,False,False,True,True,True
26,True,True,False,False,False,False,False,True
27,True,True,False,False,False,False,False,True
28,False,False,False,False,False,False,True,True
29,False,False,False,False,False,False,False,True
30,False,False,False,False,False,True,True,True
31,True,True,False,False,False,False,False,False
32,False,False,False,False,False,True,True,True
33,True,True,True,True,False,False,False,False
34,True,True,False,False,False,True,True,True
35,True,True,True,False,False,True,True,True
36,True,True,True,True,False,False,True,True
37,True,True,False,False,False,False,True,True
38,True,True,True,False,False,False,False,False
39,True,False,False,False,False,True,True,True
40,True,False,False,False,False,False,False,False
41,True,False,False,False,False,False,True,True
42,True,True,True,True,False,False,True,True
43,True,True,True,True,False,False,True,True
44,True,False,False,False,False,False,False,False
45,True,True,True,True,False,True,True,True
46,True,True,True,False,False,False,False,True
47,True,False,False,False,False,False,True,True
48,False,False,False,False,False,False,False,True
49,True,True,False,False,False,False,False,True
50,True,True,True,True,False,False,False,True
51,False,False,False,False,False,True,False,False
52,True,True,True,True,False,False,False,False
53,False,False,False,False,False,False,False,True
54,True,True,False,False,False,True,True,True
55,True,True,False,False,False,False,False,True
56,True,False,False,False,False,False,True,True
57,True,False,False,False,False,True,True,True
58,True,True,True,True,False,False,False,True
59,True,True,True,False,False,False,False,False
60,False,False,False,False,False,True,True,True
61,True,False,False,False,False,True,True,True
62,True,False,False,False,False,True,True,True
63,True,True,True,True,False,False,False,False
64,True,True,False,False,False,False,True,True
65,True,True,True,True,False,False,False,True
66,False,False,False,False,False,True,True,True
67,True,True,True,True,True,True,True,True
68,False,False,False,False,False,True,True,True
69,True,False,False,False,False,False,False,False
70,True,True,False,False,False,False,True,True
71,False,False,False,False,False,False,False,True
72,True,False,False,False,False,True,True,True
73,True,False,False,False,False,True,False,True
74,True,True,True,False,False,False,False,False
75,True,True,True,True,True,True,True,True
76,True,True,True,False,False,False,False,False
77,False,False,False,False,False,True,True,True
78,True,True,False,False,False,False,False,True
79,True,False,False,False,False,False,False,False
80,True,True,False,False,False,True,False,False
81,True,True,False,False,False,False,False,True
82,True,False,False,False,False,True,True,True
83,True,True,True,False,False,False,False,True
84,False,False,False,False,False,False,False,True
85,True,True,True,True,False,True,True,True
86,True,True,True,True,False,False,False,False
87,True,True,False,False,False,False,True,True
88,True,True,False,False,False,True,True,True
89,False,False,False,False,False,False,False,True
90,True,True,False,False,False,True,True,True
91,True,True,True,True,True,True,True,True
92,True,True,False,False,False,False,True,True
93,True,True,True,True,False,False,True,True
94,True,False,False,False,False,True,True,True
95,True,False,False,False,False,False,False,False
96,True,True,False,False,False,False,False,False
97,False,False,False,False,False,True,True,True
98,False,False,False,False,False,True,False,False
99,False,False,False,False,False,False,False,False
100,True,False,False,False,False,False,False,False
101,True,True,True,True,False,False,False,True
102,True,True,True,True,False,False,False,True
103,True,True,True,True,False,True,True,True
104,True,False,False,False,False,False,False,True
105,False,False,False,False,False,True,True,True
106,False,False,False,False,False,False,True,True
107,True,False,False,False,False,True,True,True
108,True,True,False,False,False,False,False,False
109,True,True,True,True,False,True,False,False
110,True,False,False,False,False,False,False,True
111,True,True,True,False,False,True,True,True
112,False,False,False,False,False,False,False,True
113,True,True,True,True,False,False,False,False
114,True,True,True,True,False,False,True,True
115,False,False,False,False,False,True,True,True
116,True,True,False,False,False,False,False,True
117,True,True,True,True,False,False,False,True
118,False,False,False,False,False,True,True,True
119,True,True,True,True,True,True,True,True
120,True,True,True,False,False,False,False,True
121,True,True,False,False,False,False,False,False
122,True,True,True,False,False,True,True,True
123,True,True,True,True,False,True,True,True
124,True,True,False,False,False,False,False,True
125,True,True,True,False,False,False,False,True
126,True,False,False,False,False,True,False,False
127,False,False,False,False,False,True,True,True
128,True,True,False,False,False,True,True,True
129,True,True,False,False,False,True,True,True
130,True,False,False,False,False,True,True,True
131,True,False,False,False,False,False,True,True
132,False,False,False,False,False,True,True,True
133,True,True,False,False,False,True,True,True
134,True,False,False,False,False,True,True,True
135,True,False,False,False,False,True,True,True
136,True,True,False,False,False,True,True,True
137,False,False,False,False,False,True,False,False
138,True,False,False,False,False,True,True,True
139,False,False,False,False,False,True,False,False
140,False,False,False,False,False,True,True,True
141,True,True,False,False,False,False,False,False
142,False,False,False,False,False,False,False,True
143,True,True,True,False,False,False,False,False
144,True,True,False,False,False,False,False,True
145,False,False,False,False,False,False,True,True
146,True,True,True,True,True,True,True,True
147,True,False,False,False,False,False,False,True
148,True,True,True,False,False,False,False,False
149,True,False,False,False,False,False,False,True
150,False,False,False,False,False,True,True,True
151,True,True,False,False,False,False,False,True
152,True,True,True,True,True,True,True,True
153,True,True,True,False,False,True,True,True
154,True,True,True,True,False,False,False,False
155,True,True,False,False,False,False,False,False
156,True,True,True,True,True,True,True,True
157,True,False,False,False,False,False,False,False
158,True,True,False,False,False,True,True,True
159,False,False,False,False,False,False,False,False
160,False,False,False,False,False,False,False,True
161,True,False,False,False,False,True,True,True
162,True,True,False,False,False,True,True,True
163,True,True,False,False,False,False,True,True
164,True,True,True,False,False,False,False,False
165,True,True,False,False,False,True,True,True
166,True,True,True,True,False,False,True,True
167,True,False,False,False,False,True,True,True
168,True,True,True,False,False,False,False,True
169,False,False,False,False,False,False,False,True
170,True,False,False,False,False,False,False,False
171,True,True,False,False,False,False,False,True
172,False,False,False,False,False,False,False,True
173,False,False,False,False,False,True,True,True
174,True,True,True,True,True,True,True,True
175,True,False,False,False,False,True,True,True
176,True,True,True,True,True,True,True,True
177,False,False,False,False,False,True,True,True
178,True,True,False,False,False,True,True,True
